sku,name,source,revenue_pln_90d,units_90d,cost_pln
6843674_9794,"Czapka ""Make Europe Great Again"" Regulowana Wysokiej Jakości Bawełny Chino Zielo",wholesale,126.26,1,
8719134161816,THRITUAL OF AYURVEDA roses from india fragance sticks 70 ml,wholesale,67.74,1,
192499280329,"NIKE Męskie Buty Blazer MID '77 VNTG, Biały (White/Black), rozmiar 46 EU",wholesale,0.0,0,
192499459626,"Nike Air Jordan 1 Mid m?skie buty sportowe, Bia?y bia?y 129, 47 EU",wholesale,0.0,0,
193151683106,"Buty damskie Nike W AF1 Shadow CI0919-100 R. 36,5",wholesale,0.0,0,
193151683113,"Damskie Buty Sportowe NIKE AF1 SHADOW CI0919 100 rozm. 37,5",wholesale,0.0,0,
193151683144,"NIKE Damskie Sneakers Air Force 1 Shadow, Białe, 39 EU",wholesale,0.0,0,
193151683151,"NIKE Damskie Buty Sportowe Air Force 1 Shadow, Białe, 40 EU",wholesale,0.0,0,
193654340780,NIKE SPODENKI KRÓTKIE SZORTY PARK Dry-Fit r. L,wholesale,0.0,0,
193654340872,"Nike Męskie M Nk Df Park Iii Nb K Szorty, Biało-Czarne, M EU",wholesale,0.0,0,
193658125208,"NIKE AIR JORDAN 1 MID 554725-130 BUTY BIAŁE 38,5 24 CM",wholesale,0.0,0,
193658631181,"Nike Air Jordan 1 Low (Gs) - Biały, 36.5 EU",wholesale,0.0,0,
194276153703,"Nike Blazer Mid '77, White Black Sail, 39 EU",wholesale,0.0,0,
194276560044,"NIKE Męskie AIR MAX 90 LTR Sneaker, Czarny/Czarny-Czarny, 45 EU",wholesale,0.0,0,
194497882079,"Nike Herren Victori Slipper, Czarny Biały Czarny, 41 EU",wholesale,0.0,0,
194502876109,"Nike Herren Dunk Low Retro Sneaker, Białe Czarne i Białe, 46 EU",wholesale,0.0,0,
194895756859,Nike buty damskie sportowe W AIR MAX 270 rozmiar 41,wholesale,0.0,0,
194954229683,"Nike AIR Force 1 LE (GS) Buty do koszykówki, Biały/Biały, 39 EU",wholesale,0.0,0,
194954229843,"Buty Młodzieżowe Nike Force 1 LE PS DH2925-111 r. 28,5",wholesale,0.0,0,
194954229898,Buty Młodzieżowe Nike Force 1 LE PS DH2925-111 r. 32,wholesale,0.0,0,
